symbol,timeframe,test_period,market_condition,signal_threshold,atr_stop_mult,atr_profit_mult,position_size,leverage,total_trades,win_rate,total_return_pct,cagr,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,alpha,beta
BTC/USD,1h,2017_Bull_Mania,Bull Run,75,2.0,3.0,0.25,1.0,135,0.3111111111111111,-0.16122089079897087,-0.3829534141792952,0.18177708551941482,-4.386764774344343,-6.150519452488347,0.9896847214373344,-2.1438415797878068,-0.01126270645846398
BTC/USD,1h,2017_Bull_Mania,Bull Run,75,2.0,4.0,0.25,1.0,135,0.3111111111111111,-0.15956440959850715,-0.3796011053572196,0.18016120016800571,-4.323194936704701,-6.078877992274621,0.9995557786697641,-2.142185098587343,-0.011114342353557476
BTC/USD,1h,2018_Bear_Bloodbath,Bear Market,75,2.0,3.0,0.25,1.0,351,0.1737891737891738,-0.43699460485986075,-0.4407894224434403,0.43861647648080676,-10.361995472958062,-11.7140761219675,0.6999411117041076,0.3079862959874191,-0.009246451511774759
BTC/USD,1h,2018_Bear_Bloodbath,Bear Market,75,2.0,4.0,0.25,1.0,351,0.1737891737891738,-0.43290022481234575,-0.4366745863326944,0.4345338912737351,-10.110183616364045,-11.562348554340744,0.718494672546324,0.3120806760349341,-0.009221347360916942
BTC/USD,1h,2019_Sideways_Grind,Sideways Chop,75,2.0,3.0,0.25,1.0,382,0.13350785340314136,-0.4167867987312692,-0.4204772819093614,0.4167867987312692,-11.235931924231641,-13.21415620207393,0.8229293783981617,-1.3337477043323398,0.003783590759114085
BTC/USD,1h,2019_Sideways_Grind,Sideways Chop,75,2.0,4.0,0.25,1.0,382,0.13350785340314136,-0.41486267750330336,-0.41854278964087144,0.41486267750330336,-11.115175502263359,-13.155481264426635,0.8375326240605012,-1.3318235831043739,0.003492160874044447
