symbol,timeframe,test_period,market_condition,signal_threshold,atr_stop_mult,atr_profit_mult,position_size,leverage,total_trades,win_rate,total_return_pct,cagr,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,alpha,beta
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,1.5,4.0,0.25,1.0,12,0.08333333333333333,-0.01958469001820631,-0.3633388709468671,0.020809849036524976,-12.959860107597866,-14.289647017088253,0.4659623412082938,-0.19611091802078218,0.03321935916800442
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,1.5,4.0,0.25,2.0,12,0.08333333333333333,-0.01958469001820631,-0.3633388709468671,0.020809849036524976,-12.959860107597866,-14.289647017088253,0.4659623412082938,-0.19611091802078218,0.03321935916800442
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,2.0,3.0,0.25,1.0,12,0.08333333333333333,-0.02019491028888624,-0.37232365577678184,0.021419306756008335,-12.959233083856503,-14.188449562583827,0.43165638709648363,-0.1967211382914621,0.03407343491306656
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,2.0,3.0,0.25,2.0,12,0.08333333333333333,-0.02019491028888624,-0.37232365577678184,0.021419306756008335,-12.959233083856503,-14.188449562583827,0.43165638709648363,-0.1967211382914621,0.03407343491306656
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,2.0,4.0,0.25,1.0,12,0.08333333333333333,-0.02019491028888624,-0.37232365577678184,0.021419306756008335,-12.959233083856503,-14.188449562583827,0.43165638709648363,-0.1967211382914621,0.03407343491306656
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,2.0,4.0,0.25,2.0,12,0.08333333333333333,-0.02019491028888624,-0.37232365577678184,0.021419306756008335,-12.959233083856503,-14.188449562583827,0.43165638709648363,-0.1967211382914621,0.03407343491306656
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,2.5,3.0,0.25,1.0,12,0.08333333333333333,-0.020567874370605022,-0.37775528462739605,0.021791804769619377,-12.920130883846106,-14.031247971851446,0.41305652268117854,-0.1970941023731809,0.0345954424426103
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,2.5,3.0,0.25,2.0,12,0.08333333333333333,-0.020567874370605022,-0.37775528462739605,0.021791804769619377,-12.920130883846106,-14.031247971851446,0.41305652268117854,-0.1970941023731809,0.0345954424426103
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,2.5,4.0,0.25,1.0,12,0.08333333333333333,-0.020567874370605022,-0.37775528462739605,0.021791804769619377,-12.920130883846106,-14.031247971851446,0.41305652268117854,-0.1970941023731809,0.0345954424426103
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,2.5,4.0,0.25,2.0,12,0.08333333333333333,-0.020567874370605022,-0.37775528462739605,0.021791804769619377,-12.920130883846106,-14.031247971851446,0.41305652268117854,-0.1970941023731809,0.0345954424426103
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,1.5,3.0,0.25,1.0,7,0.14285714285714285,-0.010531388567843534,-0.2146978641498969,0.011767860887580901,-8.730229810687604,-9.192358261976505,0.71143582502751,-0.1870576165704194,0.018612246734576468
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,1.5,3.0,0.25,2.0,7,0.14285714285714285,-0.010531388567843534,-0.2146978641498969,0.011767860887580901,-8.730229810687604,-9.192358261976505,0.71143582502751,-0.1870576165704194,0.018612246734576468
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,1.5,4.0,0.25,1.0,7,0.14285714285714285,-0.010531388567843534,-0.2146978641498969,0.011767860887580901,-8.730229810687604,-9.192358261976505,0.71143582502751,-0.1870576165704194,0.018612246734576468
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,1.5,4.0,0.25,2.0,7,0.14285714285714285,-0.010531388567843534,-0.2146978641498969,0.011767860887580901,-8.730229810687604,-9.192358261976505,0.71143582502751,-0.1870576165704194,0.018612246734576468
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,2.0,3.0,0.25,1.0,7,0.14285714285714285,-0.011147243703672574,-0.2257803229260169,0.01238294643070185,-8.718519168902054,-8.82023627084803,0.6346507372144964,-0.18767347170624843,0.019466322479639458
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,2.0,3.0,0.25,2.0,7,0.14285714285714285,-0.011147243703672574,-0.2257803229260169,0.01238294643070185,-8.718519168902054,-8.82023627084803,0.6346507372144964,-0.18767347170624843,0.019466322479639458
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,2.0,4.0,0.25,1.0,7,0.14285714285714285,-0.011147243703672574,-0.2257803229260169,0.01238294643070185,-8.718519168902054,-8.82023627084803,0.6346507372144964,-0.18767347170624843,0.019466322479639458
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,2.0,4.0,0.25,2.0,7,0.14285714285714285,-0.011147243703672574,-0.2257803229260169,0.01238294643070185,-8.718519168902054,-8.82023627084803,0.6346507372144964,-0.18767347170624843,0.019466322479639458
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,2.5,3.0,0.25,1.0,7,0.14285714285714285,-0.011523651791444172,-0.23248007188646402,0.012758884146623132,-8.681436301668928,-8.516815500656532,0.5953504007779893,-0.18804987979402005,0.019988330009182903
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,2.5,3.0,0.25,2.0,7,0.14285714285714285,-0.011523651791444172,-0.23248007188646402,0.012758884146623132,-8.681436301668928,-8.516815500656532,0.5953504007779893,-0.18804987979402005,0.019988330009182903
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,2.5,4.0,0.25,1.0,7,0.14285714285714285,-0.011523651791444172,-0.23248007188646402,0.012758884146623132,-8.681436301668928,-8.516815500656532,0.5953504007779893,-0.18804987979402005,0.019988330009182903
BTC/USD,1h,Recent_3_Weeks,High Volatility,90,2.5,4.0,0.25,2.0,7,0.14285714285714285,-0.011523651791444172,-0.23248007188646402,0.012758884146623132,-8.681436301668928,-8.516815500656532,0.5953504007779893,-0.18804987979402005,0.019988330009182903
